number_of_elements,capacity,max_weight,min_weight,mean_weight,median_weight,std_weight,weight_range,max_profit,min_profit,mean_profit,median_profit,std_profit,profit_range,renting_ratio,mean_weight_profit_ratio,median_weight_profit_ratio,capacity_mean_weight_ratio,capacity_median_weight_ratio,capacity_std_weight_ratio,std_weight_profit_ratio,weight_profit_correlation,total_profit,solution_time,ram,cpu_cores,peak_memory,gurobi,optimality_gap,solution_time_bin,peak_memory_bin,optimality_gap_bin
400,102436033.0,63564700.0,2.91355,17428666.16,11617200.0,17327914.16,63564697.09,60084400.0,2.78769,17237092.83,11290600.0,17021559.17,60084397.21,0.014857,1.011114,1.028927,5.877445,8.817618,5.911619,1.017998,0.978326,69506274.4,8.6e-05,8,8,4096,70377350.0,1.237721511253257,1,0,0
1363,40012301.0,99898300.0,7956.3,49862723.83,49347200.0,29008468.44,99890343.7,99919800.0,353966.0,50101185.51,50554800.0,28416261.94,99565834.0,0.000586,0.99524,0.976113,0.802449,0.810832,1.379332,1.02084,0.003296,185435.6517,0.00033,8,8,4096,353966.0,47.61201592808349,4,0,2
115,42935520.3,99994800.0,353515.0,50734263.87,55130600.0,28980467.84,99641285.0,99852500.0,358355.0,50925716.24,51313500.0,28631016.85,99494145.0,0.007331,0.996241,1.074388,0.846283,0.778797,1.481533,1.012205,0.122109,379958.071,2.3e-05,8,8,4096,1028278.0,63.0490907128228,0,0,3
400,105507014.6,60264600.0,0.900658,7669680.856,815539.0,14014920.17,60264599.1,58008000.0,2.02472,7785942.959,829639.0,14306022.56,58007997.98,0.033877,0.985068,0.983005,13.756376,129.3709,7.528192,0.979652,0.982545,77477831.35,8.3e-05,8,8,4096,77948642.1,0.6040012209526354,1,0,0
583,76143.7,9966.8,39.0,4965.585077,4831.1,2875.757262,9927.8,9989.8,18.1,4943.601715,5056.2,2756.547104,9971.7,0.026419,1.004447,0.95548,15.334286,15.761152,26.477791,1.043246,0.045007,1507.989267,0.000133,8,8,4096,1566.2,3.7166858000255454,1,0,0
532,18027908.0,99982900.0,481435.0,48202980.21,47335950.0,28843572.57,99501465.0,99985300.0,41796.2,50741098.27,50363450.0,27402465.77,99943503.8,0.000668,0.949979,0.939887,0.374,0.38085,0.625023,1.05259,-0.001949,16526.68949,0.000115,8,8,4096,41796.2,60.45887068680885,1,0,3
400,11827641557.0,6262120000.0,1.80999,3970011721.0,4819715000.0,2034293657.0,6262119998.0,6627970000.0,2.28298,4021087870.0,4838295000.0,2062098427.0,6627969998.0,0.007354,0.987298,0.99616,2.979246,2.454013,5.814127,0.986516,0.947889,8199726511.0,8.3e-05,8,8,4096,8314740000.0,1.3832481713198488,1,0,0
800,10657057820.0,6668880000.0,0.915162,3513245090.0,4731685000.0,2339367765.0,6668879999.0,6599090000.0,0.916811,3526017740.0,4758640000.0,2345033379.0,6599089999.0,0.003778,0.996378,0.994336,3.033394,2.252275,4.555529,0.997584,0.967577,6725655155.0,0.00018,8,8,4096,7212140000.0,6.745360530993574,2,0,0
600,984029.5474,636999.0,2.13142,68704.3802,4431.82,136327.5879,636996.8686,585738.0,10.2146,67131.06221,4441.085,130568.8514,585727.7854,0.024431,1.023437,0.997914,14.322661,222.037345,7.218125,1.044105,0.986212,654802.5551,0.00014,8,8,4096,671345.6078,2.4641633918201378,1,0,0
1290,2485.3,9984.1,2.3,4992.678682,5017.9,2894.101835,9981.8,9995.5,6.4,4906.13969,4789.6,2911.709472,9989.1,0.000393,1.017639,1.047666,0.497789,0.495287,0.858747,0.993953,0.02385,1.618182,0.000306,8,8,4096,6.4,74.71590625,4,0,3
