number_of_elements,capacity,max_weight,min_weight,mean_weight,median_weight,std_weight,weight_range,max_profit,min_profit,mean_profit,median_profit,std_profit,profit_range,renting_ratio,mean_weight_profit_ratio,median_weight_profit_ratio,capacity_mean_weight_ratio,capacity_median_weight_ratio,capacity_std_weight_ratio,std_weight_profit_ratio,weight_profit_correlation,solution_time,ram,cpu_cores,peak_memory,optimality_gap,solution_time_bin,peak_memory_bin,optimality_gap_bin
840,88451965.7,99891129.6,42615.6,50392105.9,48810597.95,29220996.95,99848514.0,99981560.1,169526.5,50159866.84,48318372.0,28953663.88,99812033.6,0.002099,1.00463,1.010187,1.755274,1.812147,3.027,1.009233,-0.037218,965.477,64,32,1220608,0.0,1,3,0
1106,78553.7,9963.4,16.3,5232.724503,5358.05,2901.91075,9947.1,9998.7,5.9,4928.428119,4767.25,2852.544794,9992.8,0.014411,1.061743,1.123929,15.012008,14.660875,27.069647,1.017306,0.034828,3051.843,64,32,1236992,0.0,4,4,0
282,42497314.0,99024095.3,517823.3,50220695.45,48379954.8,27846123.28,98506272.0,99804115.3,162105.3,49053464.58,49161813.15,28708745.84,99642010.0,0.003072,1.023795,0.984096,0.846211,0.878407,1.526148,0.969953,0.026693,76.46,64,32,1253376,0.0,0,4,0
86,71274176.3,98902674.3,153338.5,50042308.68,50077433.25,26920234.84,98749335.8,98931400.0,656284.0,46583809.21,43504654.2,29348144.99,98275116.0,0.017791,1.074243,1.151082,1.424278,1.423279,2.647606,0.917272,0.007082,70.336,64,32,1292288,0.0,0,4,0
1008,1509782.0,99830433.6,75331.5,48717942.78,48561253.35,28839400.6,99755102.1,99955438.1,112371.9,50160387.03,50737834.75,28758855.83,99843066.2,3e-05,0.971243,0.957101,0.03099,0.03109,0.052351,1.002801,-0.023539,6.022,64,32,1300480,0.0,0,4,0
530,84483546.6,99684877.3,59304.9,50216630.54,50140832.05,28738222.64,99625572.4,99997177.8,54034.7,50552756.53,50277162.75,28756123.11,99943143.1,0.003153,0.993351,0.997288,1.682382,1.684925,2.939762,0.999378,0.047009,564.508,64,32,1337344,0.0,0,4,0
1363,40012301.0,99898279.5,7956.3,49862724.37,49347188.0,29008469.07,99890323.2,99919844.5,353966.2,50101185.04,50554760.9,28416261.84,99565878.3,0.000586,0.99524,0.976114,0.802449,0.810832,1.379332,1.02084,0.003296,332.596,4,32,339968,0.0,0,1,0
68,88735.6,9725.1,32.1,4873.713235,5662.2,3239.135636,9693.0,9892.5,102.9,4663.501471,4323.1,2866.364054,9789.6,0.279819,1.045076,1.309755,18.20698,15.671576,27.394839,1.13005,0.001981,209.718,4,32,362496,0.0,0,1,0
1248,69910.6,9997.8,4.1,4950.323397,4867.05,2920.948079,9993.7,9969.8,5.8,5055.281971,5088.55,2893.969394,9964.0,0.011081,0.979238,0.956471,14.122431,14.36406,23.934215,1.009322,0.002397,3426.037,4,32,370688,0.0,4,1,0
933,72565856.2,99698044.3,17147.7,49392223.78,48046892.2,28950356.84,99680896.6,99403216.4,97496.8,49129785.11,48145412.6,29068560.19,99305719.6,0.001583,1.005342,0.997954,1.469176,1.510313,2.506562,0.995934,-0.028215,753.292,4,32,417792,0.0,1,1,0
